"Property ID",Title,"Issue Type",Field,Value,"Category ID"
163,"Amazing Swimming Pool View Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
165,"Spacious Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
166,"Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
167,"Fantastic Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
168,"With Lowest Price Studio in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
169,"Wonderful One-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
170,"Wonderful Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
171,"Own Prime Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
172,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
173,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
174,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
175,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
176,"Own Prime Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
177,"Amazing Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
178,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
179,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
180,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
181,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
182,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
185,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
207,"Amazing Land For Building in the Derwah, Ashmoun, Menofia Governorate","Missing Parameter",Bathroom,,57
285,"Amazing Land For Building in the Aziza, Ratib - Toukh in front of the Private University","Missing Parameter",Bathroom,,34
292,"Amazing 03-Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sale","Missing Parameter",Bathroom,,59
311,"Amazing Four-Bedroom  Apartment in the Marville  New Zayed- Al Marasem,Giza Governorate","Missing Parameter",Bathroom,,1
313,"Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
314,testing,"Missing Parameter",Bathroom,,3
315,"Luxury 75 Sqm 1-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
316,"Luxury 75 Sqm Penthouse with 48 Sqm Private Roof in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
317,"Luxury 85 Sqm Ground Floor Apartment with Private Garden in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
318,"Spacious 85 Sqm ""American-Style"" 1-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
319,"80 Sqm Top-Floor ""American-Style"" Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
320,"Luxury 2-Bedroom Ground Floor Apartment with Huge 60 Sqm Garden & Pool Access in ONE7 Residence","Missing Parameter",Bathroom,,1
321,"Spacious 118 Sqm 2-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
322,"Luxury 120 Sqm 2-Bedroom Penthouse with Private Roof (36 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
323,"Luxury 166 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
324,"Luxury 134 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & Garden in ONE7 Residence","Missing Parameter",Bathroom,,1
325,"Premium 140 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & 72 Sqm Garden in ONE7 Residence","Missing Parameter",Bathroom,,1
326,"Spacious 148 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
327,"Spacious 160 Sqm 3-Bedroom First Floor Apartment with Large 20 Sqm Terrace in ONE7 Residence","Missing Parameter",Bathroom,,1
328,"Spacious 152 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
329,"Luxury 150 Sqm 3-Bedroom Penthouse with Private Roof (52 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
330,"Spacious 160 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
331,"test apartment","Missing Parameter",Bathroom,,1
332,"Test 01-19-125","Missing Parameter",Bathroom,,1
335,"Fantastic 02-Bedroom Apartment in Dream Hotel 1","Missing Parameter",Bathroom,,3
336,"Test 03 20 Dec-25 Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
337,"test price on request","Missing Parameter",Bathroom,,62
338,"Test 4 20 Dec-25 Amazing 03 Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sales","Missing Parameter",Bathroom,,62
340,"Test 6 20 Dec-2025 Nice Villa for Sale","Missing Parameter",Bathroom,,2
